,DGUID,Buddhist_total,Buddhist_men,Buddhist_women,Christian_total,Christian_men,Christian_women,Hindu_total,Hindu_men,Hindu_women,Jewish_total,Jewish_men,Jewish_women,Muslim_total,Muslim_men,Muslim_women,No_religion_total,No_religion_men,No_religion_women,Other_religions_total,Other_religions_men,Other_religions_women,Sikh_total,Sikh_men,Sikh_women,Indigenous_spirituality_total,Indigenous_spirituality_men,Indigenous_spirituality_women
29,2021A00031202,20.0,10.0,10.0,15540.0,7205.0,8335.0,25.0,10.0,15.0,30.0,10.0,15.0,60.0,35.0,25.0,8685.0,4565.0,4115.0,145.0,75.0,70.0,15.0,0.0,10.0,15.0,0.0,10.0
30,2021A00031203,20.0,0.0,20.0,11195.0,5160.0,6035.0,0.0,0.0,0.0,10.0,0.0,0.0,40.0,25.0,15.0,5440.0,2930.0,2510.0,40.0,10.0,30.0,0.0,0.0,0.0,10.0,0.0,10.0
31,2021A00031204,20.0,10.0,10.0,5420.0,2515.0,2905.0,0.0,0.0,0.0,35.0,15.0,15.0,0.0,0.0,0.0,4770.0,2545.0,2235.0,60.0,30.0,25.0,0.0,0.0,0.0,35.0,0.0,35.0
32,2021A00031205,65.0,30.0,40.0,10940.0,5045.0,5890.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9615.0,5075.0,4535.0,245.0,110.0,135.0,30.0,30.0,0.0,0.0,0.0,0.0
33,2021A00031206,100.0,35.0,70.0,27220.0,12695.0,14525.0,110.0,40.0,65.0,60.0,30.0,35.0,105.0,65.0,45.0,19775.0,10330.0,9450.0,350.0,130.0,215.0,45.0,15.0,25.0,10.0,0.0,0.0
34,2021A00031207,125.0,45.0,80.0,31755.0,14535.0,17220.0,120.0,90.0,30.0,45.0,10.0,35.0,160.0,85.0,75.0,28895.0,15030.0,13870.0,430.0,160.0,280.0,170.0,145.0,20.0,20.0,10.0,10.0
35,2021A00031208,30.0,25.0,10.0,24630.0,11455.0,13180.0,100.0,55.0,45.0,35.0,15.0,20.0,60.0,25.0,35.0,19400.0,10315.0,9085.0,255.0,90.0,160.0,45.0,25.0,15.0,170.0,70.0,100.0
36,2021A00031209,2195.0,1020.0,1175.0,231460.0,105570.0,125885.0,6840.0,3950.0,2895.0,1750.0,905.0,840.0,13220.0,7185.0,6035.0,173055.0,90290.0,82765.0,3315.0,1455.0,1860.0,3495.0,1905.0,1590.0,210.0,100.0,115.0
37,2021A00031210,45.0,25.0,25.0,27830.0,12615.0,15220.0,275.0,175.0,100.0,40.0,30.0,10.0,140.0,75.0,60.0,21615.0,11380.0,10235.0,345.0,115.0,230.0,185.0,70.0,115.0,95.0,45.0,50.0
38,2021A00031211,45.0,25.0,25.0,15975.0,7235.0,8745.0,60.0,45.0,20.0,25.0,15.0,10.0,85.0,55.0,30.0,13385.0,7050.0,6335.0,105.0,40.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2021A00031212,55.0,20.0,35.0,27290.0,12620.0,14670.0,30.0,15.0,15.0,25.0,15.0,0.0,180.0,110.0,80.0,15060.0,7955.0,7105.0,200.0,100.0,100.0,40.0,15.0,20.0,35.0,25.0,15.0
40,2021A00031213,10.0,0.0,10.0,5510.0,2700.0,2810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,925.0,800.0,20.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2021A00031214,55.0,25.0,30.0,14635.0,6970.0,7665.0,130.0,70.0,60.0,20.0,10.0,10.0,75.0,30.0,40.0,4695.0,2415.0,2275.0,75.0,40.0,35.0,100.0,65.0,35.0,50.0,15.0,35.0
42,2021A00031215,15.0,0.0,10.0,13545.0,6545.0,7000.0,30.0,10.0,20.0,10.0,0.0,10.0,105.0,55.0,50.0,3170.0,1710.0,1460.0,30.0,10.0,15.0,10.0,10.0,0.0,60.0,20.0,35.0
43,2021A00031216,0.0,0.0,0.0,7030.0,3400.0,3625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,870.0,830.0,45.0,15.0,30.0,0.0,0.0,0.0,15.0,10.0,0.0
44,2021A00031217,100.0,35.0,65.0,73005.0,33785.0,39220.0,705.0,430.0,280.0,95.0,50.0,50.0,455.0,275.0,180.0,20940.0,11215.0,9725.0,450.0,165.0,285.0,575.0,315.0,260.0,310.0,150.0,155.0
45,2021A00031218,25.0,0.0,20.0,5375.0,2595.0,2780.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1845.0,975.0,870.0,25.0,10.0,15.0,0.0,0.0,0.0,40.0,20.0,20.0
46,2021A00031301,125.0,65.0,60.0,44140.0,19895.0,24240.0,660.0,440.0,220.0,150.0,65.0,85.0,2150.0,1160.0,995.0,26900.0,14330.0,12570.0,455.0,175.0,280.0,230.0,150.0,85.0,20.0,10.0,15.0
47,2021A00031302,25.0,20.0,0.0,15335.0,7040.0,8300.0,35.0,15.0,20.0,20.0,15.0,0.0,80.0,50.0,25.0,9895.0,5320.0,4575.0,130.0,50.0,75.0,35.0,20.0,20.0,0.0,0.0,0.0
48,2021A00031303,35.0,20.0,15.0,15170.0,7255.0,7915.0,25.0,20.0,0.0,15.0,15.0,10.0,35.0,20.0,15.0,12165.0,6735.0,5430.0,200.0,80.0,115.0,0.0,0.0,0.0,55.0,25.0,25.0
49,2021A00031304,0.0,0.0,0.0,6710.0,3140.0,3575.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,3900.0,2205.0,1695.0,70.0,10.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2021A00031305,70.0,25.0,45.0,45260.0,21310.0,23950.0,35.0,15.0,20.0,150.0,105.0,45.0,190.0,110.0,85.0,24370.0,12850.0,11520.0,265.0,115.0,145.0,60.0,25.0,30.0,0.0,0.0,0.0
51,2021A00031306,55.0,35.0,20.0,17990.0,8165.0,9825.0,90.0,50.0,40.0,25.0,15.0,10.0,165.0,90.0,80.0,11760.0,6450.0,5305.0,140.0,55.0,90.0,110.0,60.0,50.0,0.0,0.0,0.0
52,2021A00031307,340.0,180.0,160.0,102160.0,47595.0,54565.0,1275.0,805.0,475.0,300.0,170.0,135.0,3405.0,1845.0,1565.0,50170.0,26515.0,23655.0,1000.0,430.0,575.0,850.0,425.0,425.0,20.0,10.0,10.0
53,2021A00031308,95.0,55.0,35.0,25945.0,12830.0,13115.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,4995.0,2710.0,2280.0,185.0,75.0,115.0,20.0,15.0,0.0,280.0,145.0,140.0
54,2021A00031309,30.0,10.0,20.0,34985.0,16795.0,18195.0,40.0,10.0,30.0,0.0,0.0,0.0,100.0,50.0,50.0,8440.0,4540.0,3900.0,120.0,35.0,80.0,45.0,20.0,25.0,210.0,105.0,105.0
55,2021A00031310,255.0,155.0,100.0,57185.0,26165.0,31025.0,885.0,450.0,435.0,215.0,105.0,110.0,2395.0,1225.0,1175.0,41580.0,22170.0,19410.0,900.0,350.0,550.0,190.0,80.0,105.0,170.0,80.0,90.0
56,2021A00031311,15.0,10.0,10.0,15650.0,7375.0,8270.0,145.0,85.0,65.0,30.0,15.0,15.0,90.0,55.0,35.0,9720.0,5155.0,4565.0,140.0,50.0,90.0,125.0,90.0,35.0,30.0,15.0,15.0
57,2021A00031312,10.0,0.0,0.0,13230.0,6185.0,7045.0,40.0,25.0,15.0,15.0,10.0,0.0,20.0,10.0,10.0,4475.0,2435.0,2035.0,105.0,45.0,60.0,20.0,10.0,15.0,80.0,30.0,50.0
58,2021A00031313,15.0,0.0,15.0,26935.0,13085.0,13855.0,15.0,10.0,10.0,10.0,0.0,10.0,260.0,185.0,80.0,3800.0,2085.0,1715.0,50.0,20.0,30.0,20.0,0.0,10.0,0.0,0.0,0.0
59,2021A00031314,15.0,10.0,0.0,24340.0,11795.0,12545.0,50.0,40.0,10.0,25.0,20.0,10.0,65.0,40.0,30.0,4785.0,2590.0,2200.0,130.0,45.0,90.0,40.0,30.0,10.0,125.0,60.0,60.0
60,2021A00031315,30.0,20.0,10.0,67610.0,33355.0,34250.0,35.0,15.0,15.0,25.0,15.0,15.0,205.0,135.0,70.0,8175.0,4370.0,3810.0,100.0,40.0,55.0,15.0,0.0,10.0,15.0,10.0,10.0
61,2021A00032401,0.0,0.0,0.0,10960.0,5300.0,5660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,765.0,695.0,35.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2021A00032402,20.0,15.0,0.0,15395.0,7555.0,7840.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,0.0,1585.0,870.0,715.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2021A00032403,0.0,0.0,0.0,14030.0,6925.0,7100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,10.0,3010.0,1560.0,1445.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2021A00032404,0.0,0.0,0.0,8835.0,4330.0,4505.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,20.0,1815.0,960.0,855.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2021A00032405,10.0,0.0,10.0,14065.0,6800.0,7265.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,10.0,3005.0,1615.0,1390.0,100.0,45.0,55.0,0.0,0.0,0.0,25.0,15.0,10.0
66,2021A00032406,0.0,0.0,0.0,10165.0,4895.0,5275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2575.0,1385.0,1190.0,45.0,30.0,20.0,0.0,0.0,0.0,195.0,95.0,95.0
67,2021A00032407,0.0,0.0,0.0,15075.0,7620.0,7455.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,1960.0,1110.0,855.0,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2021A00032408,0.0,0.0,0.0,16600.0,8170.0,8435.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,10.0,25.0,3750.0,2025.0,1725.0,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2021A00032409,0.0,0.0,0.0,14610.0,7360.0,7250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3035.0,1560.0,1475.0,25.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2021A00032410,55.0,20.0,40.0,41715.0,20135.0,21575.0,0.0,0.0,0.0,35.0,25.0,10.0,320.0,185.0,140.0,13430.0,6975.0,6450.0,120.0,50.0,70.0,0.0,0.0,0.0,10.0,0.0,10.0
71,2021A00032411,10.0,10.0,0.0,7205.0,3645.0,3560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1285.0,680.0,600.0,20.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2021A00032412,0.0,0.0,0.0,27635.0,13635.0,14005.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,105.0,90.0,5940.0,3135.0,2800.0,55.0,25.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
73,2021A00032413,0.0,0.0,0.0,16460.0,8345.0,8110.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,15.0,2265.0,1210.0,1055.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2021A00032414,10.0,0.0,0.0,16570.0,8330.0,8240.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,0.0,3435.0,1790.0,1645.0,45.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
75,2021A00032415,25.0,10.0,20.0,12845.0,6225.0,6620.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,30.0,15.0,2005.0,1140.0,865.0,35.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2021A00032416,25.0,0.0,25.0,10815.0,5325.0,5495.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,60.0,50.0,1945.0,1070.0,870.0,40.0,25.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
77,2021A00032417,0.0,0.0,0.0,14210.0,7290.0,6930.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,20.0,2790.0,1435.0,1355.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2021A00032418,0.0,0.0,0.0,18425.0,9215.0,9210.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,55.0,30.0,3435.0,1870.0,1565.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2021A00032419,10.0,10.0,0.0,29660.0,15100.0,14555.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,40.0,7175.0,4040.0,3130.0,35.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2021A00032420,0.0,0.0,0.0,5135.0,2550.0,2575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,820.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2021A00032421,25.0,10.0,15.0,21670.0,10870.0,10805.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,10.0,7755.0,4125.0,3630.0,45.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2021A00032422,25.0,10.0,15.0,30465.0,15345.0,15120.0,0.0,0.0,0.0,15.0,15.0,0.0,40.0,25.0,15.0,16635.0,8910.0,7730.0,40.0,20.0,20.0,0.0,0.0,0.0,30.0,20.0,10.0
83,2021A00032423,1610.0,715.0,890.0,377520.0,177550.0,199970.0,515.0,280.0,240.0,310.0,185.0,125.0,17870.0,9240.0,8625.0,172010.0,91745.0,80270.0,1405.0,710.0,690.0,20.0,20.0,0.0,155.0,110.0,50.0
84,2021A00032425,240.0,110.0,125.0,105285.0,50485.0,54800.0,25.0,15.0,10.0,0.0,0.0,0.0,1795.0,1030.0,770.0,38625.0,20505.0,18120.0,260.0,125.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2021A00032426,0.0,0.0,0.0,29635.0,14925.0,14705.0,20.0,10.0,0.0,10.0,10.0,0.0,45.0,25.0,15.0,7390.0,3995.0,3400.0,45.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2021A00032427,45.0,0.0,40.0,15720.0,8070.0,7655.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,45.0,10.0,2840.0,1530.0,1310.0,45.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2021A00032428,0.0,0.0,0.0,14145.0,7315.0,6830.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.0,2155.0,1180.0,975.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2021A00032429,15.0,15.0,0.0,43890.0,22110.0,21775.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,175.0,130.0,7880.0,4235.0,3650.0,80.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2021A00032430,10.0,0.0,10.0,17595.0,8895.0,8695.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,50.0,3755.0,2070.0,1685.0,85.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2021A00032431,20.0,0.0,20.0,33495.0,16595.0,16900.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,160.0,70.0,7515.0,4140.0,3375.0,125.0,70.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2021A00032432,20.0,0.0,10.0,18695.0,9470.0,9220.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,4395.0,2385.0,2005.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2021A00032433,45.0,10.0,35.0,25160.0,12855.0,12305.0,0.0,0.0,0.0,10.0,0.0,10.0,265.0,180.0,85.0,8265.0,4370.0,3895.0,85.0,45.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2021A00032434,25.0,20.0,0.0,40945.0,20645.0,20290.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,160.0,105.0,12840.0,6680.0,6155.0,90.0,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2021A00032435,0.0,0.0,0.0,10440.0,5290.0,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2060.0,1075.0,985.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2021A00032436,75.0,20.0,50.0,35630.0,17105.0,18525.0,45.0,30.0,20.0,0.0,0.0,0.0,235.0,145.0,95.0,11585.0,6220.0,5365.0,50.0,35.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2021A00032437,150.0,75.0,75.0,109425.0,52340.0,57085.0,65.0,20.0,40.0,35.0,35.0,0.0,2250.0,1290.0,965.0,40190.0,21395.0,18795.0,460.0,195.0,265.0,0.0,0.0,0.0,10.0,0.0,0.0
97,2021A00032438,10.0,0.0,0.0,15295.0,7710.0,7580.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.0,10.0,4795.0,2635.0,2155.0,70.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2021A00032439,60.0,30.0,30.0,55175.0,27235.0,27940.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,325.0,275.0,15710.0,8385.0,7330.0,150.0,85.0,65.0,0.0,0.0,0.0,10.0,0.0,0.0
99,2021A00032440,0.0,0.0,0.0,11155.0,5680.0,5480.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,15.0,2940.0,1570.0,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2021A00032441,20.0,15.0,0.0,16435.0,8425.0,8010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5980.0,3230.0,2750.0,80.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2021A00032442,25.0,0.0,15.0,21770.0,10980.0,10790.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,45.0,10.0,8860.0,4885.0,3975.0,115.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2021A00032443,345.0,150.0,190.0,104005.0,49210.0,54790.0,250.0,160.0,85.0,125.0,70.0,60.0,6200.0,3195.0,3005.0,55440.0,29165.0,26270.0,740.0,385.0,365.0,70.0,35.0,35.0,0.0,0.0,0.0
103,2021A00032444,25.0,15.0,15.0,13545.0,6765.0,6780.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,55.0,20.0,4860.0,2600.0,2260.0,35.0,15.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2021A00032445,65.0,20.0,40.0,37220.0,18245.0,18980.0,20.0,10.0,10.0,85.0,35.0,50.0,115.0,60.0,55.0,15605.0,8125.0,7480.0,150.0,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2021A00032446,100.0,55.0,50.0,41255.0,20015.0,21240.0,50.0,30.0,25.0,125.0,50.0,70.0,115.0,70.0,45.0,21250.0,10960.0,10295.0,185.0,75.0,110.0,10.0,0.0,0.0,10.0,0.0,10.0
106,2021A00032447,90.0,55.0,30.0,61500.0,29665.0,31835.0,0.0,0.0,0.0,25.0,15.0,15.0,1175.0,630.0,545.0,27220.0,14375.0,12840.0,190.0,90.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2021A00032448,0.0,0.0,0.0,11545.0,5790.0,5755.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,10.0,3700.0,2050.0,1650.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2021A00032449,70.0,20.0,45.0,76365.0,37550.0,38815.0,0.0,0.0,0.0,15.0,15.0,0.0,1340.0,715.0,620.0,26840.0,14475.0,12365.0,235.0,95.0,135.0,0.0,0.0,0.0,15.0,0.0,10.0
109,2021A00032450,10.0,0.0,0.0,17645.0,8820.0,8825.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,15.0,5110.0,2750.0,2360.0,55.0,20.0,35.0,0.0,0.0,0.0,20.0,10.0,10.0
110,2021A00032451,15.0,0.0,10.0,28365.0,14320.0,14050.0,10.0,0.0,10.0,10.0,0.0,0.0,55.0,30.0,25.0,8000.0,4275.0,3730.0,70.0,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2021A00032452,50.0,30.0,20.0,31735.0,15890.0,15845.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,105.0,80.0,11285.0,5945.0,5340.0,105.0,70.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2021A00032453,70.0,15.0,50.0,37930.0,18730.0,19195.0,10.0,0.0,10.0,10.0,0.0,0.0,180.0,85.0,90.0,12085.0,6550.0,5535.0,40.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2021A00032454,120.0,80.0,45.0,62430.0,30500.0,31930.0,0.0,0.0,0.0,0.0,0.0,0.0,1445.0,750.0,700.0,22715.0,11930.0,10780.0,215.0,100.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2021A00032455,30.0,25.0,0.0,24760.0,12275.0,12485.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,150.0,105.0,11805.0,6165.0,5635.0,85.0,45.0,35.0,0.0,0.0,0.0,10.0,10.0,0.0
115,2021A00032456,200.0,90.0,105.0,82840.0,40095.0,42745.0,45.0,25.0,20.0,45.0,25.0,20.0,1380.0,775.0,610.0,34290.0,18230.0,16060.0,225.0,115.0,105.0,0.0,0.0,0.0,10.0,0.0,0.0
116,2021A00032457,300.0,145.0,155.0,84430.0,40715.0,43710.0,100.0,55.0,45.0,50.0,25.0,20.0,2305.0,1180.0,1125.0,42360.0,21865.0,20500.0,245.0,115.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2021A00032458,4315.0,1905.0,2415.0,254715.0,119115.0,135600.0,2680.0,1330.0,1345.0,845.0,470.0,375.0,35380.0,18320.0,17055.0,128385.0,67500.0,60880.0,1440.0,690.0,755.0,405.0,225.0,180.0,0.0,0.0,0.0
118,2021A00032459,50.0,15.0,35.0,53105.0,25895.0,27210.0,15.0,10.0,10.0,30.0,15.0,10.0,1500.0,740.0,765.0,24265.0,12640.0,11625.0,95.0,45.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2021A00032460,300.0,155.0,150.0,87710.0,41970.0,45740.0,10.0,0.0,0.0,25.0,15.0,20.0,5565.0,2760.0,2805.0,32560.0,16870.0,15690.0,250.0,130.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2021A00032461,125.0,65.0,65.0,47610.0,22380.0,25235.0,0.0,0.0,0.0,15.0,10.0,10.0,665.0,355.0,305.0,19685.0,10195.0,9490.0,195.0,100.0,90.0,0.0,0.0,0.0,25.0,20.0,0.0
121,2021A00032462,80.0,20.0,65.0,38985.0,20150.0,18835.0,10.0,0.0,10.0,30.0,15.0,15.0,50.0,40.0,10.0,14860.0,7810.0,7050.0,105.0,45.0,55.0,0.0,0.0,0.0,520.0,285.0,230.0
122,2021A00032463,75.0,50.0,20.0,38080.0,19435.0,18645.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,185.0,195.0,19400.0,10080.0,9315.0,115.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2021A00032464,410.0,190.0,215.0,115555.0,56035.0,59520.0,150.0,85.0,65.0,115.0,50.0,65.0,6025.0,3100.0,2925.0,45345.0,23590.0,21750.0,515.0,245.0,265.0,20.0,15.0,0.0,0.0,0.0,0.0
